,Processed_Month,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Total_Votes,Average_Rating,Popularity_Index
0,3/1/2021,8,2,3,4,5,22,2.818181818,0.22
1,4/1/2021,50,10,8,60,167,295,3.962711864,3
2,5/1/2021,42,12,14,30,49,147,3.217687075,1.07
3,6/1/2021,12,9,6,24,26,77,3.558441558,1.75
4,7/1/2021,35,8,6,29,36,114,3.201754386,1.32
5,8/1/2021,58,8,21,41,104,232,3.538793103,2.22
6,9/1/2021,147,22,53,145,424,791,3.855878635,2.94
7,10/1/2021,283,51,173,405,899,1811,3.875759249,3.23
8,11/1/2021,118,33,67,174,412,804,3.906716418,2.91
9,12/1/2021,78,24,38,85,252,477,3.857442348,2.44
10,1/1/2022,79,27,52,100,334,592,3.984797297,2.75
11,2/1/2022,100,31,44,98,323,596,3.860738255,2.32
12,3/1/2022,103,27,35,78,262,505,3.730693069,1.99
13,4/1/2022,78,26,32,51,170,357,3.585434174,1.45
14,5/1/2022,95,35,31,63,173,397,3.463476071,1.19
15,6/1/2022,64,8,17,39,79,207,3.29468599,1.79
16,7/1/2022,78,21,15,28,96,238,3.180672269,0.5
17,8/1/2022,54,7,12,43,100,216,3.592592593,2.43
18,9/1/2022,73,19,17,46,96,251,3.290836653,1.16
19,10/1/2022,50,14,7,16,84,171,3.409356725,0.65
20,11/1/2022,9,5,1,5,29,49,3.816326531,1.17
21,12/1/2022,26,3,5,7,32,73,3.219178082,1.05
22,1/1/2023,9,1,4,8,17,39,3.58974359,2.72
23,2/1/2023,15,2,3,4,12,36,2.888888889,0.47
24,3/1/2023,13,3,4,4,9,33,2.787878788,-0.08
