Processed_Month,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Total_Votes,Average_Rating,Popularity_Index
3/1/2021,0,0,0,0,0,22,2.818181818,0.22
5/1/2021,50,10,8,60,167,442,3.217687075,2.26
7/1/2021,12,9,6,24,26,191,3.201754386,2.11
9/1/2021,58,8,21,41,104,1023,3.855878635,2.39
11/1/2021,283,51,173,405,899,2615,3.906716418,2.82
1/1/2022,78,24,38,85,252,1069,3.984797297,2.61
3/1/2022,100,31,44,98,323,1101,3.730693069,2.72
5/1/2022,78,26,32,51,170,754,3.463476071,1.31
7/1/2022,64,8,17,39,79,445,3.180672269,2.11
9/1/2022,54,7,12,43,100,467,3.290836653,1.47
11/1/2022,50,14,7,16,84,220,3.816326531,1.38
1/1/2023,26,3,5,7,32,112,3.58974359,1.66
3/1/2023,15,2,3,4,12,69,2.787878788,1.06
