Reviews,Ratings,Processed_Month
"Sep, 2022",2,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",2,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",2,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",3,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",2,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",2,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",3,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",3,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",2,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",3,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",2,"Sep, 2022"
"Sep, 2022",3,"Sep, 2022"
"Sep, 2022",4,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",1,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
"Sep, 2022",5,"Sep, 2022"
