Reviews,Ratings,Processed_Month,Month
"Mar, 2021",1,"Mar, 2021",2021-03-01
"Mar, 2021",1,"Mar, 2021",2021-03-01
"Mar, 2021",2,"Mar, 2021",2021-03-01
"Mar, 2021",4,"Mar, 2021",2021-03-01
"Mar, 2021",4,"Mar, 2021",2021-03-01
"Mar, 2021",5,"Mar, 2021",2021-03-01
"Mar, 2021",5,"Mar, 2021",2021-03-01
"Mar, 2021",3,"Mar, 2021",2021-03-01
"Mar, 2021",1,"Mar, 2021",2021-03-01
"Mar, 2021",1,"Mar, 2021",2021-03-01
"Mar, 2021",5,"Mar, 2021",2021-03-01
"Mar, 2021",1,"Mar, 2021",2021-03-01
"Mar, 2021",4,"Mar, 2021",2021-03-01
"Mar, 2021",3,"Mar, 2021",2021-03-01
"Mar, 2021",5,"Mar, 2021",2021-03-01
"Mar, 2021",5,"Mar, 2021",2021-03-01
"Mar, 2021",4,"Mar, 2021",2021-03-01
"Mar, 2021",3,"Mar, 2021",2021-03-01
"Mar, 2021",1,"Mar, 2021",2021-03-01
"Mar, 2021",1,"Mar, 2021",2021-03-01
"Mar, 2021",1,"Mar, 2021",2021-03-01
"Mar, 2021",2,"Mar, 2021",2021-03-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",3,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",3,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",2,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",3,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",1,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",2,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",5,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
"Apr, 2021",4,"Apr, 2021",2021-04-01
